description,seriesId,economy,country,period,value,year
"population, total",SP.POP.TOTL,GIN,Guinea,YR2000,8240735.0,2000
"population, total",SP.POP.TOTL,GTM,Guatemala,YR2000,11589761.0,2000
"population, total",SP.POP.TOTL,GUM,Guam,YR2000,155323.0,2000
"population, total",SP.POP.TOTL,GRD,Grenada,YR2000,102837.0,2000
"population, total",SP.POP.TOTL,GRL,Greenland,YR2000,56200.0,2000
"population, total",SP.POP.TOTL,GRC,Greece,YR2000,10805808.0,2000
"population, total",SP.POP.TOTL,GIB,Gibraltar,YR2000,31081.0,2000
"population, total",SP.POP.TOTL,GHA,Ghana,YR2000,19278850.0,2000
"population, total",SP.POP.TOTL,DEU,Germany,YR2000,82211508.0,2000
"population, total",SP.POP.TOTL,GEO,Georgia,YR2000,4077131.0,2000
"population, total",SP.POP.TOTL,GMB,"Gambia, The",YR2000,1317708.0,2000
"population, total",SP.POP.TOTL,GAB,Gabon,YR2000,1228359.0,2000
"population, total",SP.POP.TOTL,PYF,French Polynesia,YR2000,240681.0,2000
"population, total",SP.POP.TOTL,FRA,France,YR2000,60912500.0,2000
"population, total",SP.POP.TOTL,FIN,Finland,YR2000,5176209.0,2000
"population, total",SP.POP.TOTL,FJI,Fiji,YR2000,811011.0,2000
"population, total",SP.POP.TOTL,FRO,Faroe Islands,YR2000,46738.0,2000
"population, total",SP.POP.TOTL,ETH,Ethiopia,YR2000,66224809.0,2000
"population, total",SP.POP.TOTL,SWZ,Eswatini,YR2000,1005432.0,2000
"population, total",SP.POP.TOTL,EST,Estonia,YR2000,1396985.0,2000
"population, total",SP.POP.TOTL,ERI,Eritrea,YR2000,2292413.0,2000
"population, total",SP.POP.TOTL,GNQ,Equatorial Guinea,YR2000,606180.0,2000
"population, total",SP.POP.TOTL,SLV,El Salvador,YR2000,5887930.0,2000
"population, total",SP.POP.TOTL,EGY,"Egypt, Arab Rep.",YR2000,68831561.0,2000
"population, total",SP.POP.TOTL,ECU,Ecuador,YR2000,12681123.0,2000
"population, total",SP.POP.TOTL,DOM,Dominican Republic,YR2000,8471317.0,2000
"population, total",SP.POP.TOTL,DMA,Dominica,YR2000,69650.0,2000
"population, total",SP.POP.TOTL,DJI,Djibouti,YR2000,717577.0,2000
"population, total",SP.POP.TOTL,DNK,Denmark,YR2000,5339616.0,2000
"population, total",SP.POP.TOTL,CZE,Czechia,YR2000,10255063.0,2000
"population, total",SP.POP.TOTL,CYP,Cyprus,YR2000,943288.0,2000
"population, total",SP.POP.TOTL,CUW,Curacao,YR2000,133860.0,2000
"population, total",SP.POP.TOTL,CUB,Cuba,YR2000,11126423.0,2000
"population, total",SP.POP.TOTL,HRV,Croatia,YR2000,4468302.0,2000
"population, total",SP.POP.TOTL,CIV,Cote d'Ivoire,YR2000,16454660.0,2000
"population, total",SP.POP.TOTL,CRI,Costa Rica,YR2000,3962369.0,2000
"population, total",SP.POP.TOTL,COG,"Congo, Rep.",YR2000,3127420.0,2000
"population, total",SP.POP.TOTL,COD,"Congo, Dem. Rep.",YR2000,47105830.0,2000
"population, total",SP.POP.TOTL,COM,Comoros,YR2000,542358.0,2000
"population, total",SP.POP.TOTL,COL,Colombia,YR2000,39629965.0,2000
"population, total",SP.POP.TOTL,CHN,China,YR2000,1262645000.0,2000
"population, total",SP.POP.TOTL,CHL,Chile,YR2000,15342350.0,2000
"population, total",SP.POP.TOTL,CHI,Channel Islands,YR2000,148439.0,2000
"population, total",SP.POP.TOTL,TCD,Chad,YR2000,8355654.0,2000
"population, total",SP.POP.TOTL,CAF,Central African Republic,YR2000,3640421.0,2000
"population, total",SP.POP.TOTL,CYM,Cayman Islands,YR2000,42305.0,2000
"population, total",SP.POP.TOTL,CAN,Canada,YR2000,30685730.0,2000
"population, total",SP.POP.TOTL,CMR,Cameroon,YR2000,15513944.0,2000
"population, total",SP.POP.TOTL,KHM,Cambodia,YR2000,12155241.0,2000
"population, total",SP.POP.TOTL,CPV,Cabo Verde,YR2000,428178.0,2000
"population, total",SP.POP.TOTL,BDI,Burundi,YR2000,6378871.0,2000
"population, total",SP.POP.TOTL,BFA,Burkina Faso,YR2000,11607951.0,2000
"population, total",SP.POP.TOTL,BGR,Bulgaria,YR2000,8170172.0,2000
"population, total",SP.POP.TOTL,BRN,Brunei Darussalam,YR2000,333166.0,2000
"population, total",SP.POP.TOTL,VGB,British Virgin Islands,YR2000,20313.0,2000
"population, total",SP.POP.TOTL,BRA,Brazil,YR2000,174790339.0,2000
"population, total",SP.POP.TOTL,BWA,Botswana,YR2000,1643333.0,2000
"population, total",SP.POP.TOTL,BIH,Bosnia and Herzegovina,YR2000,3751176.0,2000
"population, total",SP.POP.TOTL,BOL,Bolivia,YR2000,8418270.0,2000
"population, total",SP.POP.TOTL,BTN,Bhutan,YR2000,591014.0,2000
"population, total",SP.POP.TOTL,BMU,Bermuda,YR2000,61833.0,2000
"population, total",SP.POP.TOTL,BEN,Benin,YR2000,6865946.0,2000
"population, total",SP.POP.TOTL,BLZ,Belize,YR2000,247310.0,2000
"population, total",SP.POP.TOTL,BEL,Belgium,YR2000,10251250.0,2000
"population, total",SP.POP.TOTL,BLR,Belarus,YR2000,9979610.0,2000
"population, total",SP.POP.TOTL,BRB,Barbados,YR2000,271511.0,2000
"population, total",SP.POP.TOTL,BGD,Bangladesh,YR2000,127657862.0,2000
"population, total",SP.POP.TOTL,BHR,Bahrain,YR2000,664610.0,2000
"population, total",SP.POP.TOTL,BHS,"Bahamas, The",YR2000,298045.0,2000
"population, total",SP.POP.TOTL,AZE,Azerbaijan,YR2000,8048600.0,2000
"population, total",SP.POP.TOTL,AUT,Austria,YR2000,8011566.0,2000
"population, total",SP.POP.TOTL,AUS,Australia,YR2000,19153000.0,2000
"population, total",SP.POP.TOTL,ABW,Aruba,YR2000,90866.0,2000
"population, total",SP.POP.TOTL,ARM,Armenia,YR2000,3069597.0,2000
"population, total",SP.POP.TOTL,ARG,Argentina,YR2000,36870796.0,2000
"population, total",SP.POP.TOTL,ATG,Antigua and Barbuda,YR2000,76007.0,2000
"population, total",SP.POP.TOTL,AGO,Angola,YR2000,16395477.0,2000
"population, total",SP.POP.TOTL,AND,Andorra,YR2000,65390.0,2000
"population, total",SP.POP.TOTL,ASM,American Samoa,YR2000,57816.0,2000
"population, total",SP.POP.TOTL,DZA,Algeria,YR2000,31042238.0,2000
"population, total",SP.POP.TOTL,ALB,Albania,YR2000,3089027.0,2000
"population, total",SP.POP.TOTL,AFG,Afghanistan,YR2000,20779957.0,2000
"population, total",SP.POP.TOTL,WLD,World,YR2000,6114324044.0,2000
"population, total",SP.POP.TOTL,UMC,Upper middle income,YR2000,2154077670.0,2000
"population, total",SP.POP.TOTL,TSS,Sub-Saharan Africa (IDA & IBRD countries),YR2000,665327588.0,2000
"population, total",SP.POP.TOTL,SSA,Sub-Saharan Africa (excluding high income),YR2000,665246457.0,2000
"population, total",SP.POP.TOTL,SSF,Sub-Saharan Africa,YR2000,665327588.0,2000
"population, total",SP.POP.TOTL,TSA,South Asia (IDA & IBRD),YR2000,1390946065.0,2000
"population, total",SP.POP.TOTL,SAS,South Asia,YR2000,1390946065.0,2000
"population, total",SP.POP.TOTL,SST,Small states,YR2000,29393017.0,2000
"population, total",SP.POP.TOTL,PRE,Pre-demographic dividend,YR2000,550660000.0,2000
"population, total",SP.POP.TOTL,PST,Post-demographic dividend,YR2000,1020504874.0,2000
"population, total",SP.POP.TOTL,PSS,Pacific island small states,YR2000,1962451.0,2000
"population, total",SP.POP.TOTL,OSS,Other small states,YR2000,20917080.0,2000
"population, total",SP.POP.TOTL,OED,OECD members,YR2000,1200836415.0,2000
"population, total",SP.POP.TOTL,INX,Not classified,YR2000,,2000
"population, total",SP.POP.TOTL,NAC,North America,YR2000,312909974.0,2000
"population, total",SP.POP.TOTL,MIC,Middle income,YR2000,4592353799.0,2000
"population, total",SP.POP.TOTL,TMN,Middle East & North Africa (IDA & IBRD countries),YR2000,276357461.0,2000
"population, total",SP.POP.TOTL,MNA,Middle East & North Africa (excluding high income),YR2000,279279614.0,2000
"population, total",SP.POP.TOTL,MEA,Middle East & North Africa,YR2000,315326781.0,2000
"population, total",SP.POP.TOTL,LMC,Lower middle income,YR2000,2438276129.0,2000
"population, total",SP.POP.TOTL,LIC,Low income,YR2000,397504018.0,2000
"population, total",SP.POP.TOTL,LMY,Low & middle income,YR2000,4989857817.0,2000
"population, total",SP.POP.TOTL,LDC,Least developed countries: UN classification,YR2000,657030890.0,2000
"population, total",SP.POP.TOTL,TLA,Latin America & the Caribbean (IDA & IBRD countries),YR2000,504921279.0,2000
"population, total",SP.POP.TOTL,LAC,Latin America & Caribbean (excluding high income),YR2000,468775587.0,2000
"population, total",SP.POP.TOTL,LCN,Latin America & Caribbean,YR2000,520903474.0,2000
"population, total",SP.POP.TOTL,LTE,Late-demographic dividend,YR2000,2045117456.0,2000
"population, total",SP.POP.TOTL,IDA,IDA total,YR2000,1078169001.0,2000
"population, total",SP.POP.TOTL,IDX,IDA only,YR2000,717995606.0,2000
"population, total",SP.POP.TOTL,IDB,IDA blend,YR2000,360173395.0,2000
"population, total",SP.POP.TOTL,IBT,IDA & IBRD total,YR2000,5065355830.0,2000
"population, total",SP.POP.TOTL,IBD,IBRD only,YR2000,3987186829.0,2000
"population, total",SP.POP.TOTL,HIC,High income,YR2000,1100273778.0,2000
"population, total",SP.POP.TOTL,HPC,Heavily indebted poor countries (HIPC),YR2000,471680803.0,2000
"population, total",SP.POP.TOTL,FCS,Fragile and conflict affected situations,YR2000,610277815.0,2000
"population, total",SP.POP.TOTL,EUU,European Union,YR2000,429328622.0,2000
"population, total",SP.POP.TOTL,TEC,Europe & Central Asia (IDA & IBRD countries),YR2000,434305092.0,2000
"population, total",SP.POP.TOTL,ECA,Europe & Central Asia (excluding high income),YR2000,369135190.0,2000
"population, total",SP.POP.TOTL,ECS,Europe & Central Asia,YR2000,861270071.0,2000
"population, total",SP.POP.TOTL,EMU,Euro area,YR2000,321310789.0,2000
"population, total",SP.POP.TOTL,TEA,East Asia & Pacific (IDA & IBRD countries),YR2000,1793498345.0,2000
"population, total",SP.POP.TOTL,EAP,East Asia & Pacific (excluding high income),YR2000,1816474904.0,2000
"population, total",SP.POP.TOTL,EAS,East Asia & Pacific,YR2000,2047640091.0,2000
"population, total",SP.POP.TOTL,EAR,Early-demographic dividend,YR2000,2472852816.0,2000
"population, total",SP.POP.TOTL,CEB,Central Europe and the Baltics,YR2000,108447824.0,2000
"population, total",SP.POP.TOTL,CSS,Caribbean small states,YR2000,6513486.0,2000
"population, total",SP.POP.TOTL,ARB,Arab World,YR2000,282344141.0,2000
"population, total",SP.POP.TOTL,AFW,Africa Western and Central,YR2000,267214544.0,2000
"population, total",SP.POP.TOTL,AFE,Africa Eastern and Southern,YR2000,398113044.0,2000
"population, total",SP.POP.TOTL,ZWE,Zimbabwe,YR2001,11923906.0,2001
"population, total",SP.POP.TOTL,ZMB,Zambia,YR2001,10692197.0,2001
"population, total",SP.POP.TOTL,YEM,"Yemen, Rep.",YR2001,17918369.0,2001
"population, total",SP.POP.TOTL,PSE,West Bank and Gaza,YR2001,2997784.0,2001
"population, total",SP.POP.TOTL,VIR,Virgin Islands (U.S.),YR2001,108549.0,2001
"population, total",SP.POP.TOTL,VNM,Vietnam,YR2001,80742500.0,2001
"population, total",SP.POP.TOTL,VEN,"Venezuela, RB",YR2001,24646471.0,2001
"population, total",SP.POP.TOTL,VUT,Vanuatu,YR2001,189209.0,2001
"population, total",SP.POP.TOTL,UZB,Uzbekistan,YR2001,24964450.0,2001
"population, total",SP.POP.TOTL,URY,Uruguay,YR2001,3325471.0,2001
"population, total",SP.POP.TOTL,USA,United States,YR2001,284968955.0,2001
"population, total",SP.POP.TOTL,GBR,United Kingdom,YR2001,59119673.0,2001
"population, total",SP.POP.TOTL,ARE,United Arab Emirates,YR2001,3302722.0,2001
"population, total",SP.POP.TOTL,UKR,Ukraine,YR2001,48662400.0,2001
"population, total",SP.POP.TOTL,UGA,Uganda,YR2001,24388974.0,2001
"population, total",SP.POP.TOTL,TUV,Tuvalu,YR2001,9478.0,2001
"population, total",SP.POP.TOTL,TCA,Turks and Caicos Islands,YR2001,21578.0,2001
"population, total",SP.POP.TOTL,TKM,Turkmenistan,YR2001,4564087.0,2001
"population, total",SP.POP.TOTL,TUR,Turkiye,YR2001,64192243.0,2001
"population, total",SP.POP.TOTL,TUN,Tunisia,YR2001,9793915.0,2001
"population, total",SP.POP.TOTL,TTO,Trinidad and Tobago,YR2001,1271627.0,2001
"population, total",SP.POP.TOTL,TON,Tonga,YR2001,98482.0,2001
"population, total",SP.POP.TOTL,TGO,Togo,YR2001,5062571.0,2001
"population, total",SP.POP.TOTL,TLS,Timor-Leste,YR2001,901214.0,2001
"population, total",SP.POP.TOTL,THA,Thailand,YR2001,63539190.0,2001
"population, total",SP.POP.TOTL,TZA,Tanzania,YR2001,34385849.0,2001
"population, total",SP.POP.TOTL,TJK,Tajikistan,YR2001,6318510.0,2001
"population, total",SP.POP.TOTL,SYR,Syrian Arab Republic,YR2001,16766555.0,2001
"population, total",SP.POP.TOTL,CHE,Switzerland,YR2001,7229854.0,2001
"population, total",SP.POP.TOTL,SWE,Sweden,YR2001,8895960.0,2001
"population, total",SP.POP.TOTL,SUR,Suriname,YR2001,476574.0,2001
"population, total",SP.POP.TOTL,SDN,Sudan,YR2001,27971077.0,2001
"population, total",SP.POP.TOTL,VCT,St. Vincent and the Grenadines,YR2001,107893.0,2001
"population, total",SP.POP.TOTL,MAF,St. Martin (French part),YR2001,29847.0,2001
"population, total",SP.POP.TOTL,LCA,St. Lucia,YR2001,158184.0,2001
"population, total",SP.POP.TOTL,KNA,St. Kitts and Nevis,YR2001,44602.0,2001
"population, total",SP.POP.TOTL,LKA,Sri Lanka,YR2001,18911727.0,2001
"population, total",SP.POP.TOTL,ESP,Spain,YR2001,40850412.0,2001
"population, total",SP.POP.TOTL,SSD,South Sudan,YR2001,6447791.0,2001
"population, total",SP.POP.TOTL,ZAF,South Africa,YR2001,45571272.0,2001
"population, total",SP.POP.TOTL,SOM,Somalia,YR2001,9186719.0,2001
"population, total",SP.POP.TOTL,SLB,Solomon Islands,YR2001,423949.0,2001
"population, total",SP.POP.TOTL,SVN,Slovenia,YR2001,1992060.0,2001
"population, total",SP.POP.TOTL,SVK,Slovak Republic,YR2001,5378867.0,2001
"population, total",SP.POP.TOTL,SXM,Sint Maarten (Dutch part),YR2001,30600.0,2001
"population, total",SP.POP.TOTL,SGP,Singapore,YR2001,4138012.0,2001
"population, total",SP.POP.TOTL,SLE,Sierra Leone,YR2001,4754069.0,2001
"population, total",SP.POP.TOTL,SYC,Seychelles,YR2001,81202.0,2001
"population, total",SP.POP.TOTL,SRB,Serbia,YR2001,7503433.0,2001
"population, total",SP.POP.TOTL,SEN,Senegal,YR2001,10036102.0,2001
"population, total",SP.POP.TOTL,SAU,Saudi Arabia,YR2001,21202646.0,2001
"population, total",SP.POP.TOTL,STP,Sao Tome and Principe,YR2001,144760.0,2001
"population, total",SP.POP.TOTL,SMR,San Marino,YR2001,27818.0,2001
"population, total",SP.POP.TOTL,WSM,Samoa,YR2001,175394.0,2001
"population, total",SP.POP.TOTL,RWA,Rwanda,YR2001,8231150.0,2001
"population, total",SP.POP.TOTL,RUS,Russian Federation,YR2001,145976482.0,2001
"population, total",SP.POP.TOTL,ROU,Romania,YR2001,22131970.0,2001
"population, total",SP.POP.TOTL,QAT,Qatar,YR2001,615013.0,2001
"population, total",SP.POP.TOTL,PRI,Puerto Rico,YR2001,3818774.0,2001
"population, total",SP.POP.TOTL,PRT,Portugal,YR2001,10362722.0,2001
"population, total",SP.POP.TOTL,POL,Poland,YR2001,38248076.0,2001
"population, total",SP.POP.TOTL,PHL,Philippines,YR2001,79672869.0,2001
"population, total",SP.POP.TOTL,PER,Peru,YR2001,26799289.0,2001
"population, total",SP.POP.TOTL,PRY,Paraguay,YR2001,5428442.0,2001
"population, total",SP.POP.TOTL,PNG,Papua New Guinea,YR2001,5974627.0,2001
"population, total",SP.POP.TOTL,PAN,Panama,YR2001,3089641.0,2001
"population, total",SP.POP.TOTL,PLW,Palau,YR2001,19390.0,2001
"population, total",SP.POP.TOTL,PAK,Pakistan,YR2001,145978408.0,2001
"population, total",SP.POP.TOTL,OMN,Oman,YR2001,2294959.0,2001
"population, total",SP.POP.TOTL,NOR,Norway,YR2001,4513751.0,2001
"population, total",SP.POP.TOTL,MNP,Northern Mariana Islands,YR2001,58319.0,2001
"population, total",SP.POP.TOTL,MKD,North Macedonia,YR2001,2034882.0,2001
"population, total",SP.POP.TOTL,NGA,Nigeria,YR2001,125394046.0,2001
"population, total",SP.POP.TOTL,NER,Niger,YR2001,11751364.0,2001
"population, total",SP.POP.TOTL,NIC,Nicaragua,YR2001,5145367.0,2001
